"uniqueid","parentid","lctype","title","description","startdate","enddate"
"BIOL1052.200420","BIOL1052","S","(2004 - 2005, Semester 2)","","",""
"BIOL1151","","C","BIOL1151 - Introductory Genetics","","",""
"BIOL1151.200420","BIOL1151","S","(2004 - 2005, Semester 2)","","",""
"BIOL2052","","C","BIOL2052 - Plant Physiology","","",""
"BIOL2052.200410","BIOL2052","S","(2004 - 2005, Semester 1)","","",""
"BIOL2053","","C","BIOL2053 - Physiology of Plants and  Animals","","",""
"BIOL2053.200710","BIOL2053","S","(2007 - 2008, Semester 1)","","",""
"BIOL2151.200410","BIOL2152","S","(2004 - 2005, Semester 1)","","",""
"BIOL2151.200820","BIOL2152","S","(2008 - 2009, Semester 2)","","",""
"BIOL2152","","C","BIOL2152 - General Molecular Biology","","",""
"BIOL3023","","C","BIOL3023 - Coral Reef Biology","","",""
"BIOL3023.200810","BIOL3023","S","(2008 - 2009, Semester 1)","","",""
"BIOL3053","","C","BIOL3053 - Developmental Biology","","",""
"BIOL3053.200720","BIOL3053","S","(2007 - 2008, Semester 2)","","",""
"BIOL3053.200820","BIOL3053","S","(2008 - 2009, Semester 2)","","",""
"BIOL3152","","C","BIOL3152 - Bioinformatics","","",""
"BIOL3152.200810","BIOL3152","S","(2008 - 2009, Semester 1)","","",""
"CHEM0125","","C","CHEM0125 - Elementary Organic and Inorganic Chemistry","","",""
"CHEM0125.200420","CHEM0125","S","(2004 - 2005, Semester 2)","","",""
"CHEM0125.200520","CHEM0125","S","(2005 - 2006, Semester 2)","","",""
"CHEM0355","","C","CHEM0355 - Preliminary Chemistry I","","",""
"CHEM0355.200410","CHEM0355","S","(2004 - 2005, Semester 1)","","",""
"CHEM0355.200520","CHEM0355","S","(2005 - 2006, Semester 2)","","",""
"CHEM0355.200610","CHEM0355","S","(2006 - 2007, Semester 1)","","",""
"CHEM0615","","C","CHEM0615 - Elementary Organic and General Chemistry","","",""
"CHEM0615.200610","CHEM0615","S","(2006 - 2007, Semester 1)","","",""
"CHEM0625","","C","CHEM0625 - Preliminary Chemistry","","",""
"CHEM0625.200820","CHEM0625","S","(2008 - 2009, Semester 2)","","",""
"CHEM1010","","C","CHEM1010 - Fundamentals of Chemistry","","",""
"CHEM1010.200810","CHEM1010","S","(2008 - 2009, Semester 1)","","",""
"CHEM1020","","C","CHEM1020 - Introductory Chemistry","","",""
"CHEM1020.200820","CHEM1020","S","(2008 - 2009, Semester 2)","","",""
"CHEM1020.Training.AWilliams","CHEM1020","S","(Workshop - Avril Williams)","","",""
"CHEM1315","","C","CHEM1315 - Introductory Physical Chemistry","","",""
"CHEM1315.200420","CHEM1315","S","(2004 - 2005, Semester 2)","","",""
"CHEM1415.200420.1","CHEM2415","S","(2004 - 2005, Semester 2) - 1","","",""
"CHEM2100","","C","CHEM2100 - Inorganic Chemistry I","","",""
"CHEM2100.200820","CHEM2100","S","(2008 - 2009, Semester 2)","","",""
"CHEM2200","","C","CHEM2200 - Organic Chemistry I","","",""
"CHEM2200.200820","CHEM2200","S","(2008 - 2009, Semester 2)","","",""
"CHEM2415","","C","CHEM2415 - Analytical Chemistry","","",""
"CHEM2415.200420","CHEM2415","S","(2004 - 2005, Semester 2)","","",""
"CHEM3100","","C","CHEM3100 - Inorganic Chemistry","","",""
"CHEM3100.Training.Garner","CHEM3100","S","Workshop - Leah Garner","","",""
"CHEM3135","","C","CHEM3135 - Bioinorganic Chemistry","","",""
"CHEM3135.200820","CHEM3135","S","(2008 - 2009, Semester 2)","","",""
"CHEM3200","","C","CHEM3200 - Organic Chemistry II","","",""
"CHEM3200.200810","CHEM3200","S","(2008 - 2009, Semester 1)","","",""
"CHEM3415","","C","CHEM3415 - Advanced Analytical Chemistry","","",""
"CHEM3415.200420","CHEM3415","S","(2004 - 2005, Semester 2)","","",""
"CHEM3515","","C","CHEM3515 - Environmental Chemistry","","",""
"CHEM3515.200730","CHEM3515","S","(2007 -2008, Summer)","","",""
"CKST6000","","C","CKST6000 - Political and Social History of West Indies Cricket","","",""
"CKST6000.200710","CKST6000","S","(2007 -2008, Semester 1)","","",""
"CKST6010","","C","CKST6010 - Cricket and West Indian Nationalism","","",""
"CKST6010.200710","CKST6010","S","(2007 - 2008, Semester 1)","","",""
"CKST6020","","C","CKST6020 - Research Methods","","",""
"CKST6020.200710","CKST6020","S","(2007 - 2008, Semester 1)","","",""
"CKST6020.200810","CKST6020","S","(2008 - 2009, Semester 1)","","",""
"CKST6030","","C","CKST6030 - Contempory Management and Financial Issues in West Indies Cricket","","",""
"CKST6030.200710.CorporateSocialResponsibility","CKST6030","S","Corporate Social Responsibility - (2007 - 2008, Semester 1)","","",""
"CKST6030.200710.SportsMarketing","CKST6030","S","Sports Marketing - (2007 - 2008, Semester 1)","","",""
"CKST6030.200710.SportsMedicine","CKST6030","S","Sports Medicine - (2007 - 2008, Semester 1)","","",""
"CLTR2500","","C","CLTR2500 - Introduction to Caribbean Cultural Studies","","",""
"CLTR2500.200810","CLTR2500","S","(2008 - 2009, Semester 1)","","",""
"CLTR3100","","C","CLTR3100 - Theorising Caribbean Culture","","",""
"CLTR3100.200810","CLTR3100","S","(2008 - 2009, Semester 1)","","",""
"CLTR3101","","C","CLTR3101 - Race, Nationalism and Culture","","",""
"CLTR3101.200820","CLTR3101","S","(2008 - 2009, Semester 2)","","",""
"CLTR6100","","C","CLTR6100 - Methods of Inquiry in Cultural Studies","","",""
"CLTR6100.200820","CLTR6100","S","(2008 - 2009, Semester 2)","","",""
"CM600","","C","CM600 - Managerial Economics","","",""
"CM600.200520","CM600","S","(2005 - 2006, Semester 2)","","",""
"COCR2030","","C","COCR2030 - Peer Education in Response to HIV and AIDS","","",""
"COCR2030.200810","COCR2030","S","(2008 -2009, Semester 1)","","",""
"COMP1005","","C","COMP1005 - Computer Applications","","",""
"COMP1005.200610","COMP1005","S","(2006 - 2007, Semester 1)","","",""
"COMP1005.200710","COMP1005","S","(2007 - 2008, Semester 1)","","",""
"COMP1005.200810","COMP1005","S","(2008 - 2009, Semester 1)","","",""
"COMP1105","","C","COMP1105 - Computer Programming 1","","",""
"COMP1105.200410","COMP1105","S","(2004 - 2005, Semester 1)","","",""
"COMP1105.200420","COMP1105","S","(2004 - 2005, Semester 2)","","",""
"COMP1105.200510","COMP1105","S","(2005 - 2006, Semester 1)","","",""
"COMP1105.200610","COMP1105","S","(2006 - 2007, Semester 1)","","",""
"COMP1105.200620","COMP1105","S","(2006 - 2007, Semester 2)","","",""
"COMP1105.200630","COMP1105","S","(2006 - 2007, Summer)","","",""
"COMP1105.200710","COMP1105","S","(2007 - 2008, Semester 1)","","",""
"COMP1105.200720","COMP1105","S","Computer Programming I - COMP1105","","",""
"COMP1105.200730","COMP1105","S","(2007 - 2008, Summer)","","",""
"COMP1105.200810.Gittens","COMP1105","S","(2008 - 2009, Semester 1) - Gittens","","",""
"COMP1105.200820","COMP1105","S","(2008 - 2009, Semester 2) - Gittens","","",""
"COMP1115","","C","COMP1115 - Computer Programming II","","",""
"COMP1115.200620","COMP1115","S","(2006 - 2007, Semester 2)","","",""
"COMP1115.200720","COMP1115","S","(2007 - 2008, Semester 2)","","",""
"COMP1115.200820","COMP1115","S","(2008 - 2009, Semester 2)","","",""
"COMP1125","","C","COMP1125 - Introduction to UNIX","","",""
"COMP1125.200720","COMP1125","S","(2007 - 2008, Semester 2)","","",""
"COMP1125.200810","COMP1125","S","(2008 - 2009, Semester 1)","","",""
"COMP1130","","C","COMP1130 - Web Technology Fundamentals","","",""
"COMP1130.200620","COMP1130","S","(2006 - 2007, Semester 2)","","",""
"COMP1130.200720","COMP1130","S","(2007 - 2008, Semester 2)","","",""
"COMP1130.200820","COMP1130","S","(2008 - 2009, Semester 2)","","",""
"COMP2105","","C","COMP2105 - DISCRETE MATHEMATICS","","",""
"COMP2105.200410","COMP2105","S","(2004 - 2005, Semester 1)","","",""
"COMP2105.200510","COMP2105","S","(2005 - 2006, Semester 1)","","",""
"COMP2105.200530","COMP2105","S","(2005 - 2006, Summer)","","",""
"COMP2105.200610","COMP2105","S","(2006 - 2007, Semester 1)","","",""
"COMP2105.200630","COMP2105","S","(2006 - 2007, Summer)","","",""
"COMP2105.200710","COMP2105","S","(2007 - 2008, Semester 1)","","",""
"COMP2105.200720","COMP2105","S","(2007 - 2008, Semester 2)","","",""
"COMP2105.200810","COMP2105","S","(2008 - 2009, Semester 1)","","",""
"COMP2105.200820","COMP2105","S","(2008 - 2009, Semester 2)","","",""
"COMP2105.220430","COMP2105","S","(2004 - 2005, Summer)","","",""
"COMP2115","","C","COMP2115 - Information Structures","","",""
"COMP2115.200620","COMP2115","S","(2006 - 2007, Semester 2)","","",""
"COMP2115.200720","COMP2115","S","(2007 - 2008, Semester 2)","","",""
"COMP2115.200810","COMP2115","S","(2008 - 2009, Semester 1)","","",""
"COMP2115.200820","COMP2115","S","(2008 - 2009, Semester 2)","","",""
"COMP2125","","C","COMP2125 - Computer Architecture","","",""
"COMP2125.200520","COMP2125","S","(2005 - 2006, Semester 2)","","",""
"COMP2125.200620","COMP2125","S","(2006 - 2007, Semester 2)","","",""
"COMP2125.200710","COMP2125","S","(2007 - 2008, Semester 1)","","",""
"COMP2135","","C","COMP2135 - Systems Programming","","",""
"COMP2135.200410","COMP2135","S","(2004 - 2005, Semester 1)","","",""
"COMP2135.200610","COMP2135","S","(2006 - 2007, Semester 1)","","",""
"COMP2145","","C","COMP2145 - Software Engineering I","","",""
"COMP2145.200510","COMP2145","S","(2005 - 2006, Semester 1)","","",""
"COMP2145.200610","COMP2145","S","(2006 - 2007, Semester 1)","","",""
"COMP2145.200710","COMP2145","S","(2007 - 2008, Semester 1)","","",""
"COMP2145.200810","COMP2145","S","(2008 - 2009, Semester 1)","","",""
"COMP2145.200820","COMP2145","S","(2008 - 2009, Semester 2)","","",""
"COMP2150","","C","COMP2150 - Computer Networks I","","",""
"COMP2150.200710","COMP2150","S","(2007 - 2008, Semester 1)","","",""
"COMP2150.200720","COMP2150","S","(2007 - 2008, Semester 2)","","",""
"COMP2150.200810","COMP2150","S","(2008 - 2009, Semester 1)","","",""
"COMP2150.200820","COMP2150","S","(2008 - 2009, Semester 2)","","",""
"COMP2160","","C","COMP2160 - Object-Oriented Programming","","",""
"COMP2160.200420","COMP2160","S","(2004 - 2005, Semester 2)","","",""
"COMP2160.200520","COMP2160","S","(2005 - 2006, Semester 2)","","",""
"COMP2160.200620","COMP2160","S","(2006 - 2007, Semester 2)","","",""
"COMP2160.200720","COMP2160","S","(2007 - 2008, Semester 2)","","",""
"COMP2160.200810","COMP2160","S","(2008 - 2009, Semester 1)","","",""
"COMP2160.200820","COMP2160","S","(2008 - 2009, Semester 2)","","",""
"COMP3100","","C","COMP3100 - Operating Systems","","",""
"COMP3100.200630","COMP3100","S","(2006 - 2007, Summer)","","",""
